CLK,RTL,SYN,GATE,Area,Slack,Cost
10.0,PASS,MET,PASS,207130.494513,0.0,2071304.95
9.99,PASS,MET,PASS,209395.974168,0.0,2091865.78
9.98,PASS,MET,PASS,211389.596911,0.0,2109668.18
9.97,PASS,MET,PASS,209924.065657,0.0,2092942.93
10.01,PASS,MET,PASS,212789.507447,0.0,2130022.97
10.02,PASS,MET,PASS,212236.417686,0.0,2126608.91
10.04,PASS,MET,PASS,210017.809705,0.0,2108578.81
10.06,PASS,MET,PASS,207621.088096,0.0,2088668.15
10.08,PASS,MET,PASS,208749.140899,0.0,2104191.34
10.1,PASS,MET,PASS,210936.500795,0.0,2130458.66
10.12,PASS,MET,PASS,205571.2192,0.0,2080380.74
10.14,PASS,MET,PASS,207489.846482,0.0,2103947.04
10.16,PASS,MET,PASS,205968.068913,0.0,2092635.58
10.18,PASS,MET,PASS,207139.868763,0.0,2108683.86
10.2,PASS,MET,PASS,207183.61599,0.0,2113272.88
10.22,PASS,MET,PASS,207658.585649,0.0,2122270.75
